gene,mirna
959,0
3325,0
6707,0
6707,0
417,0
5870,0
5870,0
1926,0
3717,0
3717,0
3717,0
3717,0
3717,0
6266,0
6661,0
6652,0
6652,0
5378,0
4348,0
3149,0
3149,0
1115,0
1115,0
3968,0
7442,0
2670,0
5006,0
3029,0
2525,0
958,0
483,0
204,0
5755,0
5755,0
5755,0
5755,0
5755,0
6480,0
4044,0
4044,0
4044,0
4044,0
3148,0
3148,0
3148,0
3148,0
2453,0
971,0
971,0
7371,0
7427,0
4419,0
4419,0
6267,0
4523,0
4523,0
3686,0
3686,0
3393,0
3393,0
3856,0
3856,0
1408,0
46,0
7461,0
6342,0
6342,0
5158,0
5158,0
4565,0
1872,0
3509,0
5750,0
3550,0
2243,0
4858,0
5817,0
1788,0
1788,0
2275,0
4617,0
3677,0
6381,1
4205,1
7505,1
1649,1
6352,1
3781,1
3781,1
3781,1
3781,1
2154,1
6329,1
3686,1
3686,1
2956,1
3791,1
3791,1
3791,1
3043,1
3043,1
6068,1
7442,1
1622,1
1622,1
1622,1
7011,1
7165,1
3029,1
6851,1
3447,1
3447,1
3447,1
4355,1
813,1
119,1
529,1
529,1
529,1
6349,1
6349,1
6349,1
6349,1
159,1
159,1
159,1
2649,1
2649,1
2076,1
2076,1
1616,1
4844,1
4844,1
268,1
5403,1
792,1
1268,1
5862,1
5862,1
6496,1
6496,1
87,1
6463,1
5023,1
4692,1
5118,1
3149,1
4125,1
6130,1
1206,1
1206,1
2045,1
5325,1
4946,1
4330,1
186,1
5142,1
5142,1
1917,1
4442,1
1545,1
7282,1
4095,1
3670,1
3471,1
309,1
3832,1
2205,1
6407,1
6643,1
1119,1
2071,1
1118,1
1260,2
4395,2
4395,2
706,2
3148,2
3148,2
3148,2
3148,2
3148,2
1914,2
3832,2
4618,2
7213,2
7213,2
6509,2
6509,2
6509,2
4585,2
4155,2
1267,2
5994,2
7350,2
606,2
4161,2
5572,2
4556,2
2878,2
3129,2
1225,2
6653,2
6653,2
6653,2
6166,2
6166,2
4692,2
116,2
680,2
7515,2
1971,2
2812,2
2596,2
5154,2
100,2
4640,2
358,2
1649,2
805,2
6141,2
6456,2
6374,2
2148,2
2893,2
6103,2
497,2
5381,2
3505,2
3637,2
6443,2
2981,2
6114,2
7321,2
2102,2
7359,2
2323,2
569,2
370,2
6765,2
980,2
1168,2
3005,2
6153,2
4599,2
2871,2
333,2
3429,2
1338,2
5878,2
1839,2
2424,2
773,2
823,2
3177,2
7470,2
6384,2
2275,2
4566,2
4322,2
7072,2
3845,2
5778,2
6240,2
6142,2
6128,2
876,2
1008,2
5183,2
480,2
480,2
480,2
480,2
5445,2
5445,2
1464,2
3948,2
593,2
3056,2
4134,2
2543,2
3156,2
649,2
3206,2
3244,2
2385,2
987,2
6220,2
5802,2
4047,2
768,2
4374,2
4374,2
4374,2
4374,2
4374,2
5169,2
1910,2
5009,2
5098,2
708,2
2655,2
679,2
2058,2
3915,2
2761,2
3765,2
4356,2
516,2
4028,2
2331,2
3197,2
6388,2
2334,2
6736,2
2675,2
4110,2
3608,2
315,2
2571,2
595,2
7056,2
783,2
4949,2
6831,2
4196,2
7125,2
2714,2
1663,2
5699,2
261,2
3382,2
1486,2
7528,2
4608,2
5485,2
751,2
4438,2
2985,2
1912,2
6342,2
4172,2
1643,2
1684,2
622,2
722,2
7036,2
1117,2
59,2
4643,2
1124,2
163,2
2281,2
2281,2
7377,2
3325,2
3325,2
3325,2
3325,2
6666,2
6666,2
6666,2
6666,2
6666,2
4860,2
658,2
5006,2
5006,2
5006,2
2950,2
2950,2
2950,2
2950,2
2950,2
2950,2
53,2
53,2
53,2
53,2
53,2
6940,2
5038,2
5038,2
5038,2
5038,2
976,2
5358,2
7395,2
7395,2
1639,2
1639,2
6990,2
4052,2
917,2
917,2
917,2
917,2
917,2
917,2
917,2
2096,2
1282,2
5126,2
1424,2
1424,2
1424,2
1424,2
5094,2
5071,2
825,2
825,2
825,2
4386,2
4496,2
612,2
612,2
612,2
612,2
1922,2
3652,2
344,2
344,2
2562,2
4794,2
5698,2
2637,2
2801,2
5770,2
5770,2
4290,2
6165,2
4693,2
4693,2
4862,2
4862,2
1536,2
7018,2
7018,2
6022,2
5428,2
5428,2
5346,2
5346,2
5346,2
5292,2
5121,2
4750,2
4027,2
4027,2
3964,2
3592,2
3288,2
3082,2
3082,2
2667,2
2667,2
2404,2
2404,2
1118,2
1118,2
626,2
626,2
625,2
573,2
573,2
573,2
564,2
378,2
378,2
212,2
209,2
5237,2
5237,2
6738,2
5294,2
1314,2
479,2
7087,2
6728,2
6491,2
2755,2
4185,2
3120,2
3120,2
6950,2
6950,2
6601,2
6601,2
5718,2
4767,2
4090,2
4090,2
4090,2
4090,2
1315,2
1296,2
839,2
4815,2
4815,2
4815,2
2530,2
2530,2
2530,2
2530,2
1518,2
1518,2
1518,2
1187,2
1187,2
5900,2
5900,2
5900,2
4522,2
4522,2
2653,2
2653,2
2050,2
6159,2
4867,2
5862,2
5862,2
6501,2
5293,2
7195,2
4332,2
3327,2
3327,2
2234,2
2032,2
1538,2
1134,2
1041,2
3623,2
98,2
231,2
231,2
5777,2
5255,2
5077,2
871,2
871,2
5084,2
2198,2
2198,2
